,,,,
,Abstand [cm],Left [/1000 V],Center [/1000 V],Right [/1000 V]
,1,3170,3098,3107
,"1,5",2891,2662,2730
,2,2481,2369,2354
,"2,5",2173,2039,2062
,3,1917,1830,1828
,"3,5",1702,1617,1615
,4,1514,1477,1472
,"4,5",1373,1342,1330
,5,1252,1246,1213
,"5,5",1174,1151,1112
,6,1085,1080,1042
,"6,5",1010,1008,971
,7,952,934,894
,"7,5",892,886,846
,8,840,836,797
,"8,5",792,789,749
,9,744,742,700
,"9,5",719,707,670
,10,671,670,626
,"10,5",652,639,589
,11,602,602,560
,"11,5",578,576,537
,12,552,551,498
,"12,5",510,522,463
,13,484,481,437
,"13,5",455,463,412
,14,430,438,388
,"14,5",406,413,364
,15,382,403,338
,16,354,357,293
,17,307,309,264
,18,255,259,216
,19,229,208,166
,20,180,158,139
,21,155,111,100
,22,106,67,70
,23,71,42,56
,24,52,31,43
,25,36,23,33
,30,22,23,22
