u,a_bar
3,0.007523086646093042
5,0.004359256711836638
6,0.01494264672038675
7,0.0280682570088426
8,0.044276809463108066
9,0.10681528879780382
10,0.04098907322394253
15,0.14420277124686212
20,0.28708367447926586
25,0.15735522427352525
30,0.17273958986840657
35,0.31664663698563894
40,0.33985104213964507
45,0.24733850791900494
50,0.4384389282822371
55,0.8503397582971248
60,0.7375850667864869
65,0.8495666954664401
70,1.0121718103485737
75,1.0163377944377858
80,1.1178434347011819
85,1.031122255201318
90,1.0794104975132215
95,0.6124589204157118
100,1.3889234511615387
