seg,v_max,T_m,R2
1,0.0,0.00033535866666767333,
3,0.0,0.00033364433333341975,
5,0.0005937917521198535,3.6735319907475793e-06,0.00046660691953714917
7,0.0,0.0003320053333328114,
9,0.00013670212525647524,1.580420538584866e-07,8.67177337767755e-05
11,0.005570641142438312,2.1055964161388516e-05,0.011877144034077358
13,0.00861704748690609,6.165195493407651e-05,0.037924452535118225
15,0.021798966777994196,4.507666668447964e-05,0.18393534965137537
17,0.031475627910942404,3.3699183986507755e-05,0.214717659721669
19,0.038482268250637414,7.007988213241271e-06,0.20101287679018354
21,0.06860185015381111,4.262558054336391e-05,0.6218479157488702
23,0.10735764609569465,4.10088517757711e-05,0.7424611044464159
25,0.1349373336831006,4.246405568123862e-05,0.850087572347876
27,0.17090173680777146,3.360967221449308e-05,0.8453093259999875
29,0.19470613878030987,2.8357682789902193e-05,0.7983161353077564
31,0.22763973588743622,3.212054806755034e-05,0.7172745817792201
33,0.25651786055137465,2.8149212869282776e-05,0.7994012859231427
35,0.28989869268071394,3.239084000907791e-05,0.8705616295350906
37,0.32546307477897046,2.7505042436844462e-05,0.7950676837110062
39,0.34996101649559036,3.079417087167543e-05,0.8622326081792403
41,0.3859419277213074,2.2439353993081182e-05,0.8134342834285699
43,0.40967844413766014,2.8784267051828694e-05,0.8827636194474695
45,0.4409946465222053,2.0452246760890726e-05,0.8123801128189836
47,0.464775028817121,2.192462842877557e-05,0.8827671192527964
49,0.5014704749590065,1.7328783343386645e-05,0.8104921399102665
51,0.527032276144148,2.1571912711432848e-05,0.8813066252578559
53,0.5568534520609947,1.672864848550485e-05,0.8553436312828537
55,0.5922056492722219,2.0114724180572365e-05,0.910716572712077
