seg,v_max,R2,T_m
1,0.0,,0.07839261174526961
3,0.0,,0.07839261174526961
5,0.0003838321029663419,-0.06755194862625369,0.07839261174526961
7,0.0,,0.07839261174526961
9,0.0050045234239743585,0.6729385585531988,0.07839261174526961
11,0.014799007518957567,0.9509002730244601,0.07839261174526961
13,0.015270166987068819,0.858753192936381,0.07839261174526961
15,0.02344830256300717,0.9804689007178673,0.07839261174526961
17,0.03257658035544142,0.9617688193442758,0.07839261174526961
19,0.044328603885064675,0.9791109005276605,0.07839261174526961
21,0.07136010520283888,0.9876307265391807,0.07839261174526961
23,0.10529307806807983,0.9704322633362316,0.07839261174526961
25,0.13018355992785638,0.9824434491737387,0.07839261174526961
27,0.16248999930795963,0.9828114884794628,0.07839261174526961
29,0.18802130542555584,0.9841701741356434,0.07839261174526961
31,0.21789779347141328,0.9879038273849551,0.07839261174526961
33,0.2391925426183397,0.9908991299020189,0.07839261174526961
35,0.2766181544695373,0.9895168346321025,0.07839261174526961
37,0.3078734601072625,0.9866801773765261,0.07839261174526961
39,0.3315003576113951,0.9904032267669272,0.07839261174526961
41,0.36252597636849543,0.9895589424725484,0.07839261174526961
43,0.37809771083253857,0.9759598541446779,0.07839261174526961
45,0.41974698021346957,0.9912060474652575,0.07839261174526961
47,0.44531200439174157,0.9911330582603332,0.07839261174526961
49,0.4788065868659264,0.9887939103025236,0.07839261174526961
51,0.49843427135416773,0.9852292949782856,0.07839261174526961
53,0.5403027816289699,0.9910802730453694,0.07839261174526961
55,0.5698218249763408,0.9872490660201613,0.07839261174526961
