t,u,v,seg
48788.189761,1,0.0,1
48788.191777,1,0.0,1
48788.193798,1,0.0,1
48788.19582,1,0.0,1
48788.197842,1,0.0,1
48788.20017,1,0.0,1
48788.203824,1,0.0,1
48788.207478,1,0.0,1
48788.211133,1,0.0,1
48788.213768,1,0.0,1
48788.214161,1,0.0,1
48788.214554,1,0.0,1
48788.214947,1,0.0,1
48788.216053,1,0.0,1
48788.218074,1,0.0,1
48788.220096,1,0.0,1
48788.222117,1,0.0,1
48788.224131,1,0.0,1
48788.22614,1,0.0,1
48788.228148,1,0.0,1
48788.230157,1,0.0,1
48788.232175,1,0.0,1
48788.234199,1,0.0,1
48788.236222,1,0.0,1
48788.238245,1,0.0,1
48788.240151,1,0.0,1
48788.242029,1,0.0,1
48788.243907,1,0.0,1
48788.245785,1,0.0,1
48788.247774,1,0.0,1
48788.24977,1,0.0,1
48788.251766,1,0.0,1
48788.253764,1,0.0,1
48788.255795,1,0.0,1
48788.257827,1,0.0,1
48788.259858,1,0.0,1
48788.261891,1,0.0,1
48788.263928,1,0.0,1
48788.265965,1,0.0,1
48788.268001,1,0.0,1
48788.270027,1,0.0,1
48788.272027,1,0.0,1
48788.274028,1,0.0,1
48788.276028,1,0.0,1
48788.278043,1,0.0,1
48788.280075,1,0.0,1
48788.282107,1,0.0,1
48788.284139,1,0.0,1
48788.286147,1,0.0,1
48788.288136,1,0.0,1
48788.290125,1,0.0,1
48788.292114,1,0.0,1
48788.294132,1,0.0,1
48788.296161,1,0.0,1
48788.298191,1,0.0,1
48788.300221,1,0.0,1
48788.30213,1,0.0,1
48788.304012,1,0.0,1
48788.305893,1,0.0,1
48788.307774,1,0.0,1
48788.309769,1,0.0,1
48788.311772,1,0.0,1
48788.313774,1,0.0,1
48788.315782,1,0.0,1
48788.317864,1,0.0,1
48788.319946,1,0.0,1
48788.322028,1,0.0,1
48788.324087,1,0.0,1
48788.326046,1,0.0,1
48788.328004,1,0.0,1
48788.329963,1,0.0,1
48788.331944,1,0.0,1
48788.333976,1,0.0,1
48788.336007,1,0.0,1
48788.338039,1,0.0,1
48788.340061,1,0.0,1
48788.342073,1,0.0,1
48788.344085,1,0.0,1
48788.346097,1,0.0,1
48788.348116,1,0.0,1
48788.350142,1,0.0,1
48788.352167,1,0.0,1
48788.354192,1,0.0,1
48788.356217,1,0.0,1
48788.358242,1,0.0,1
48788.360266,1,0.0,1
48788.362291,1,0.0,1
48788.364172,1,0.0,1
48788.36602,1,0.0,1
48788.367868,1,0.0,1
48788.369717,1,0.0,1
48788.371736,1,0.0,1
48788.373767,1,0.0,1
48788.375798,1,0.0,1
48788.37783,1,0.0,1
48788.379873,1,0.0,1
48788.381917,1,0.0,1
48788.383961,1,0.0,1
48788.385996,1,0.0,1
48788.387999,1,0.0,1
48788.390001,1,0.0,1
48788.392004,1,0.0,1
48788.39401,1,0.0,1
48788.396024,1,0.0,1
48788.398038,1,0.0,1
48788.400052,1,0.0,1
48788.402175,1,0.0,1
48788.404437,1,0.0,1
48788.406699,1,0.0,1
48788.408961,1,0.0,1
48788.410963,1,0.0,1
48788.412762,1,0.0,1
48788.414562,1,0.0,1
48788.416361,1,0.0,1
48788.418424,1,0.0,1
48790.498588,2,0.0,3
48790.499714,2,0.0,3
48790.500841,2,0.0,3
48790.502243,2,0.0,3
48790.504252,2,0.0,3
48790.506261,2,0.0,3
48790.50827,2,0.0,3
48790.510292,2,0.0,3
48790.512333,2,0.0,3
48790.514374,2,0.0,3
48790.516414,2,0.0,3
48790.518968,2,0.0,3
48790.521921,2,0.0,3
48790.524874,2,0.0,3
48790.527826,2,0.0,3
48790.529597,2,0.0,3
48790.530831,2,0.0,3
48790.532065,2,0.0,3
48790.533298,2,0.0,3
48790.534918,2,0.0,3
48790.536628,2,0.0,3
48790.538337,2,0.0,3
48790.540046,2,0.0,3
48790.54205,2,0.0,3
48790.544074,2,0.0,3
48790.546097,2,0.0,3
48790.54812,2,0.0,3
48790.550129,2,0.0,3
48790.552138,2,0.0,3
48790.554148,2,0.0,3
48790.556161,2,0.0,3
48790.558192,2,0.0,3
48790.560224,2,0.0,3
48790.562255,2,0.0,3
48790.564277,2,0.0,3
48790.566278,2,0.0,3
48790.568278,2,0.0,3
48790.570278,2,0.0,3
48790.572287,2,0.0,3
48790.574307,2,0.0,3
48790.576327,2,0.0,3
48790.578346,2,0.0,3
48790.580365,2,0.0,3
48790.582383,2,0.0,3
48790.584401,2,0.0,3
48790.586419,2,0.0,3
48790.588438,2,0.0,3
48790.590458,2,0.0,3
48790.592478,2,0.0,3
48790.594498,2,0.0,3
48790.596396,2,0.0,3
48790.598266,2,0.0,3
48790.600136,2,0.0,3
48790.602007,2,0.0,3
48790.604032,2,0.0,3
48790.606069,2,0.0,3
48790.608105,2,0.0,3
48790.610138,2,0.0,3
48790.612121,2,0.0,3
48790.614105,2,0.0,3
48790.616088,2,0.0,3
48790.619078,2,0.0,3
48790.626426,2,0.0,3
48790.633774,2,0.0,3
48790.641123,2,0.0,3
48790.646264,2,0.0,3
48790.646551,2,0.0,3
48790.646838,2,0.0,3
